operator_id,missed_count,total_incoming,missed_rate,avg_waiting_time,outgoing_count,ineffective_missed,ineffective_wait,ineffective_out,score_inefficacy,is_ineffective
922356,0.0,9.0,0.0,52.44444444444444,0.0,False,True,True,2,True
923254,0.0,1.0,0.0,45.0,3.0,False,True,False,1,True
923526,2.0,63.0,0.031746031746031744,111.11111111111111,120.0,True,True,False,2,True
923528,2.0,48.0,0.041666666666666664,59.9375,78.0,True,True,False,2,True
923646,0.0,1.0,0.0,19.0,0.0,False,False,True,1,True
923744,0.0,1.0,0.0,5.0,0.0,False,False,True,1,True
923944,0.0,28.0,0.0,17.214285714285715,0.0,False,False,True,1,True
924546,1.0,23.0,0.043478260869565216,30.47826086956522,31.0,True,False,False,1,True
924662,0.0,1.0,0.0,20.0,0.0,False,False,True,1,True
924928,1.0,15.0,0.06666666666666667,65.2,28.0,True,True,False,2,True
924930,1.0,13.0,0.07692307692307693,35.38461538461539,71.0,True,False,False,1,True
924934,0.0,3.0,0.0,64.0,98.0,False,True,False,1,True
924936,1.0,6.0,0.16666666666666666,25.666666666666668,0.0,True,False,True,2,True
924948,1.0,12.0,0.08333333333333333,22.666666666666668,79.0,True,False,False,1,True
924954,1.0,13.0,0.07692307692307693,46.46153846153846,45.0,True,True,False,2,True
924960,1.0,31.0,0.03225806451612903,38.064516129032256,103.0,True,False,False,1,True
925104,0.0,58.0,0.0,112.12068965517241,109.0,False,True,False,1,True
925106,0.0,15.0,0.0,37.733333333333334,0.0,False,False,True,1,True
925808,0.0,9.0,0.0,23.22222222222222,0.0,False,False,True,1,True
925826,1.0,37.0,0.02702702702702703,29.45945945945946,73.0,True,False,False,1,True
925922,8.0,27.0,0.2962962962962963,104.14814814814815,46.0,True,True,False,2,True
926214,0.0,1.0,0.0,27.0,0.0,False,False,True,1,True
926490,1.0,9.0,0.1111111111111111,27.333333333333332,42.0,True,False,False,1,True
926872,1.0,13.0,0.07692307692307693,1.4615384615384615,6.0,True,False,False,1,True
927070,0.0,20.0,0.0,70.75,0.0,False,True,True,2,True
927908,0.0,3.0,0.0,4.333333333333333,0.0,False,False,True,1,True
927910,1.0,9.0,0.1111111111111111,6.555555555555555,0.0,True,False,True,2,True
927912,1.0,8.0,0.125,5.75,0.0,True,False,True,2,True
928022,0.0,2.0,0.0,31.0,0.0,False,False,True,1,True
928092,0.0,3.0,0.0,78.66666666666667,0.0,False,True,True,2,True
928142,0.0,7.0,0.0,13.714285714285714,0.0,False,False,True,1,True
928202,0.0,14.0,0.0,26.5,0.0,False,False,True,1,True
928382,1.0,7.0,0.14285714285714285,3.857142857142857,8.0,True,False,False,1,True
928404,0.0,3.0,0.0,25.666666666666668,0.0,False,False,True,1,True
928886,1.0,25.0,0.04,18.16,69.0,True,False,False,1,True
928888,1.0,35.0,0.02857142857142857,72.11428571428571,72.0,True,True,False,2,True
929332,0.0,16.0,0.0,33.5,0.0,False,False,True,1,True
929340,0.0,6.0,0.0,58.166666666666664,0.0,False,True,True,2,True
929424,3.0,49.0,0.061224489795918366,33.87755102040816,78.0,True,False,False,1,True
929876,1.0,19.0,0.05263157894736842,25.894736842105264,42.0,True,False,False,1,True
929884,0.0,11.0,0.0,44.54545454545455,14.0,False,True,False,1,True
930020,5.0,29.0,0.1724137931034483,24.24137931034483,70.0,True,False,False,1,True
930242,1.0,4.0,0.25,17.25,0.0,True,False,True,2,True
930264,0.0,3.0,0.0,13.0,0.0,False,False,True,1,True
930582,0.0,1.0,0.0,16.0,0.0,False,False,True,1,True
930818,0.0,3.0,0.0,13.666666666666666,0.0,False,False,True,1,True
931458,10.0,52.0,0.19230769230769232,681.9615384615385,88.0,True,True,False,2,True
931914,0.0,18.0,0.0,28.333333333333332,0.0,False,False,True,1,True
932460,1.0,15.0,0.06666666666666667,27.866666666666667,0.0,True,False,True,2,True
932672,0.0,3.0,0.0,3.3333333333333335,0.0,False,False,True,1,True
932798,1.0,26.0,0.038461538461538464,36.96153846153846,8.0,True,False,False,1,True
933070,1.0,6.0,0.16666666666666666,72.66666666666667,10.0,True,True,False,2,True
933804,0.0,14.0,0.0,24.714285714285715,0.0,False,False,True,1,True
933832,0.0,16.0,0.0,36.875,0.0,False,False,True,1,True
933986,1.0,8.0,0.125,23.0,6.0,True,False,False,1,True
934074,1.0,19.0,0.05263157894736842,28.105263157894736,0.0,True,False,True,2,True
934076,1.0,7.0,0.14285714285714285,44.42857142857143,0.0,True,True,True,3,True
934098,2.0,5.0,0.4,31.8,0.0,True,False,True,2,True
934170,0.0,5.0,0.0,16.4,0.0,False,False,True,1,True
934424,0.0,5.0,0.0,32.8,0.0,False,False,True,1,True
934428,0.0,21.0,0.0,40.476190476190474,0.0,False,False,True,1,True
934430,1.0,22.0,0.045454545454545456,35.18181818181818,0.0,True,False,True,2,True
934432,0.0,6.0,0.0,47.833333333333336,0.0,False,True,True,2,True
934534,2.0,38.0,0.05263157894736842,61.8421052631579,0.0,True,True,True,3,True
934608,0.0,7.0,0.0,17.142857142857142,0.0,False,False,True,1,True
935268,0.0,4.0,0.0,12.0,0.0,False,False,True,1,True
935348,1.0,22.0,0.045454545454545456,51.63636363636363,60.0,True,True,False,2,True
935394,0.0,1.0,0.0,7.0,0.0,False,False,True,1,True
935870,0.0,7.0,0.0,14.714285714285714,0.0,False,False,True,1,True
935956,0.0,2.0,0.0,52.5,1.0,False,True,False,1,True
935958,1.0,20.0,0.05,38.95,0.0,True,False,True,2,True
936110,0.0,41.0,0.0,59.707317073170735,0.0,False,True,True,2,True
936514,1.0,34.0,0.029411764705882353,45.0,0.0,True,True,True,3,True
936984,0.0,32.0,0.0,30.25,0.0,False,False,True,1,True
937362,0.0,2.0,0.0,126.5,3.0,False,True,False,1,True
937366,0.0,2.0,0.0,80.5,2.0,False,True,False,1,True
937368,2.0,13.0,0.15384615384615385,40.84615384615385,4.0,True,False,False,1,True
937374,0.0,16.0,0.0,55.9375,0.0,False,True,True,2,True
937432,1.0,3.0,0.3333333333333333,12.0,5.0,True,False,False,1,True
937708,0.0,32.0,0.0,78.1875,60.0,False,True,False,1,True
937732,2.0,34.0,0.058823529411764705,60.1764705882353,49.0,True,True,False,2,True
937736,2.0,34.0,0.058823529411764705,109.52941176470588,57.0,True,True,False,2,True
937750,1.0,14.0,0.07142857142857142,53.0,17.0,True,True,False,2,True
937752,0.0,38.0,0.0,118.36842105263158,60.0,False,True,False,1,True
937760,1.0,35.0,0.02857142857142857,97.45714285714286,60.0,True,True,False,2,True
937762,1.0,33.0,0.030303030303030304,38.78787878787879,59.0,True,False,False,1,True
937774,0.0,12.0,0.0,79.91666666666667,18.0,False,True,False,1,True
937780,2.0,36.0,0.05555555555555555,49.083333333333336,59.0,True,True,False,2,True
937788,0.0,27.0,0.0,52.111111111111114,54.0,False,True,False,1,True
937808,1.0,30.0,0.03333333333333333,45.7,57.0,True,True,False,2,True
937812,1.0,30.0,0.03333333333333333,75.26666666666667,50.0,True,True,False,2,True
937854,0.0,31.0,0.0,48.58064516129032,66.0,False,True,False,1,True
937860,3.0,36.0,0.08333333333333333,54.0,45.0,True,True,False,2,True
937862,0.0,29.0,0.0,48.93103448275862,56.0,False,True,False,1,True
937864,1.0,18.0,0.05555555555555555,27.5,9.0,True,False,False,1,True
937868,1.0,23.0,0.043478260869565216,30.130434782608695,51.0,True,False,False,1,True
937874,1.0,6.0,0.16666666666666666,28.666666666666668,10.0,True,False,False,1,True
937880,0.0,5.0,0.0,13.0,0.0,False,False,True,1,True
937888,0.0,35.0,0.0,45.371428571428574,61.0,False,True,False,1,True
937898,1.0,2.0,0.5,34.0,3.0,True,False,False,1,True
937902,1.0,30.0,0.03333333333333333,97.36666666666666,61.0,True,True,False,2,True
937956,8.0,59.0,0.13559322033898305,17.440677966101696,1.0,True,False,False,1,True
937958,5.0,53.0,0.09433962264150944,38.83018867924528,0.0,True,False,True,2,True
937960,2.0,47.0,0.0425531914893617,47.95744680851064,0.0,True,True,True,3,True
937962,3.0,37.0,0.08108108108108109,49.513513513513516,0.0,True,True,True,3,True
937966,2.0,32.0,0.0625,63.9375,60.0,True,True,False,2,True
938414,2.0,9.0,0.2222222222222222,238.55555555555554,19.0,True,True,False,2,True
938432,0.0,6.0,0.0,30.666666666666668,0.0,False,False,True,1,True
938614,1.0,13.0,0.07692307692307693,15.76923076923077,10.0,True,False,False,1,True
938896,5.0,47.0,0.10638297872340426,174.08510638297872,91.0,True,True,False,2,True
939224,1.0,15.0,0.06666666666666667,34.333333333333336,56.0,True,False,False,1,True
939370,4.0,44.0,0.09090909090909091,207.5681818181818,28.0,True,True,False,2,True
939376,1.0,30.0,0.03333333333333333,123.56666666666666,63.0,True,True,False,2,True
939474,0.0,20.0,0.0,135.85,42.0,False,True,False,1,True
939476,1.0,7.0,0.14285714285714285,53.0,28.0,True,True,False,2,True
939478,1.0,12.0,0.08333333333333333,44.75,31.0,True,True,False,2,True
939706,4.0,33.0,0.12121212121212122,144.84848484848484,35.0,True,True,False,2,True
939708,1.0,7.0,0.14285714285714285,17.714285714285715,2.0,True,False,False,1,True
939762,0.0,41.0,0.0,334.7560975609756,88.0,False,True,False,1,True
940430,1.0,25.0,0.04,2.44,2.0,True,False,False,1,True
940432,0.0,17.0,0.0,60.470588235294116,27.0,False,True,False,1,True
940442,2.0,27.0,0.07407407407407407,4.962962962962963,45.0,True,False,False,1,True
940508,0.0,2.0,0.0,41.5,0.0,False,False,True,1,True
940512,0.0,1.0,0.0,19.0,0.0,False,False,True,1,True
940514,0.0,1.0,0.0,11.0,0.0,False,False,True,1,True
940588,15.0,52.0,0.28846153846153844,127.23076923076923,16.0,True,True,False,2,True
940614,3.0,11.0,0.2727272727272727,42.81818181818182,17.0,True,False,False,1,True
940616,5.0,31.0,0.16129032258064516,103.16129032258064,47.0,True,True,False,2,True
940622,10.0,28.0,0.35714285714285715,109.25,31.0,True,True,False,2,True
940624,3.0,34.0,0.08823529411764706,95.3529411764706,45.0,True,True,False,2,True
940630,11.0,49.0,0.22448979591836735,165.9591836734694,12.0,True,True,False,2,True
940634,6.0,30.0,0.2,111.53333333333333,37.0,True,True,False,2,True
940652,7.0,28.0,0.25,61.32142857142857,27.0,True,True,False,2,True
940658,6.0,37.0,0.16216216216216217,113.0,47.0,True,True,False,2,True
940772,0.0,1.0,0.0,9.0,0.0,False,False,True,1,True
940952,0.0,13.0,0.0,139.53846153846155,19.0,False,True,False,1,True
940968,0.0,13.0,0.0,24.076923076923077,0.0,False,False,True,1,True
941786,0.0,1.0,0.0,39.0,0.0,False,False,True,1,True
941844,1.0,4.0,0.25,29.25,6.0,True,False,False,1,True
942214,0.0,2.0,0.0,10.5,0.0,False,False,True,1,True
943066,0.0,16.0,0.0,73.8125,42.0,False,True,False,1,True
944210,0.0,19.0,0.0,219.73684210526315,15.0,False,True,False,1,True
944216,16.0,52.0,0.3076923076923077,160.92307692307693,37.0,True,True,False,2,True
944218,11.0,48.0,0.22916666666666666,187.41666666666666,42.0,True,True,False,2,True
944220,12.0,51.0,0.23529411764705882,187.41176470588235,55.0,True,True,False,2,True
944222,11.0,45.0,0.24444444444444444,139.26666666666668,51.0,True,True,False,2,True
944226,14.0,50.0,0.28,153.58,38.0,True,True,False,2,True
944228,0.0,10.0,0.0,141.3,3.0,False,True,False,1,True
944246,0.0,5.0,0.0,66.6,1.0,False,True,False,1,True
944310,0.0,2.0,0.0,7.5,0.0,False,False,True,1,True
944474,0.0,2.0,0.0,75.0,5.0,False,True,False,1,True
944476,0.0,26.0,0.0,97.84615384615384,6.0,False,True,False,1,True
944564,0.0,2.0,0.0,14.0,0.0,False,False,True,1,True
944644,0.0,14.0,0.0,45.357142857142854,36.0,False,True,False,1,True
944646,1.0,24.0,0.041666666666666664,85.625,48.0,True,True,False,2,True
944648,0.0,3.0,0.0,66.0,22.0,False,True,False,1,True
944764,2.0,21.0,0.09523809523809523,117.76190476190476,24.0,True,True,False,2,True
944766,1.0,12.0,0.08333333333333333,114.5,15.0,True,True,False,2,True
944808,0.0,30.0,0.0,17.5,0.0,False,False,True,1,True
944908,0.0,2.0,0.0,13.5,0.0,False,False,True,1,True
945046,3.0,13.0,0.23076923076923078,81.92307692307692,7.0,True,True,False,2,True
945052,1.0,9.0,0.1111111111111111,82.88888888888889,10.0,True,True,False,2,True
945710,0.0,1.0,0.0,17.0,0.0,False,False,True,1,True
946020,0.0,1.0,0.0,3.0,0.0,False,False,True,1,True
946032,0.0,1.0,0.0,8.0,0.0,False,False,True,1,True
946468,0.0,1.0,0.0,25.0,0.0,False,False,True,1,True
946916,0.0,11.0,0.0,42.0,0.0,False,False,True,1,True
947304,3.0,18.0,0.16666666666666666,11.555555555555555,46.0,True,False,False,1,True
947306,0.0,1.0,0.0,10.0,0.0,False,False,True,1,True
948150,0.0,3.0,0.0,84.66666666666667,5.0,False,True,False,1,True
948182,0.0,25.0,0.0,56.52,50.0,False,True,False,1,True
948282,0.0,1.0,0.0,1.0,0.0,False,False,True,1,True
948284,0.0,4.0,0.0,26.75,0.0,False,False,True,1,True
948286,5.0,37.0,0.13513513513513514,135.24324324324326,0.0,True,True,True,3,True
948288,1.0,10.0,0.1,29.6,0.0,True,False,True,2,True
948524,0.0,4.0,0.0,5.5,0.0,False,False,True,1,True
948756,1.0,1.0,1.0,8.0,23.0,True,False,False,1,True
948758,1.0,8.0,0.125,57.375,39.0,True,True,False,2,True
949252,0.0,2.0,0.0,20.0,0.0,False,False,True,1,True
950632,0.0,1.0,0.0,13.0,0.0,False,False,True,1,True
950634,0.0,8.0,0.0,13.75,0.0,False,False,True,1,True
950640,0.0,1.0,0.0,9.0,0.0,False,False,True,1,True
951118,0.0,4.0,0.0,32.5,0.0,False,False,True,1,True
951186,0.0,12.0,0.0,66.0,5.0,False,True,False,1,True
951332,0.0,4.0,0.0,64.0,4.0,False,True,False,1,True
951490,1.0,16.0,0.0625,25.0,0.0,True,False,True,2,True
951492,0.0,14.0,0.0,46.142857142857146,45.0,False,True,False,1,True
951506,0.0,17.0,0.0,94.82352941176471,38.0,False,True,False,1,True
951508,10.0,33.0,0.30303030303030304,192.9090909090909,42.0,True,True,False,2,True
951526,0.0,11.0,0.0,19.90909090909091,0.0,False,False,True,1,True
951614,0.0,3.0,0.0,23.333333333333332,0.0,False,False,True,1,True
951650,0.0,1.0,0.0,45.0,3.0,False,True,False,1,True
952126,0.0,5.0,0.0,20.2,0.0,False,False,True,1,True
952292,0.0,1.0,0.0,81.0,0.0,False,True,True,2,True
952666,0.0,1.0,0.0,15.0,0.0,False,False,True,1,True
952678,0.0,1.0,0.0,30.0,0.0,False,False,True,1,True
952734,0.0,19.0,0.0,23.789473684210527,0.0,False,False,True,1,True
952948,7.0,33.0,0.21212121212121213,170.84848484848484,63.0,True,True,False,2,True
952954,0.0,2.0,0.0,1.0,0.0,False,False,True,1,True
952982,0.0,6.0,0.0,1.1666666666666667,0.0,False,False,True,1,True
953464,1.0,17.0,0.058823529411764705,28.58823529411765,27.0,True,False,False,1,True
953940,0.0,1.0,0.0,9.0,0.0,False,False,True,1,True
953952,0.0,3.0,0.0,30.333333333333332,0.0,False,False,True,1,True
954086,0.0,1.0,0.0,64.0,1.0,False,True,False,1,True
954290,0.0,7.0,0.0,28.142857142857142,0.0,False,False,True,1,True
954616,0.0,6.0,0.0,7.666666666666667,0.0,False,False,True,1,True
954650,2.0,21.0,0.09523809523809523,229.0,42.0,True,True,False,2,True
954750,1.0,18.0,0.05555555555555555,271.0,22.0,True,True,False,2,True
954810,0.0,11.0,0.0,30.545454545454547,0.0,False,False,True,1,True
955032,1.0,12.0,0.08333333333333333,27.333333333333332,15.0,True,False,False,1,True
955436,0.0,1.0,0.0,23.0,0.0,False,False,True,1,True
956080,0.0,3.0,0.0,84.0,0.0,False,True,True,2,True
956480,0.0,17.0,0.0,72.70588235294117,0.0,False,True,True,2,True
956484,0.0,9.0,0.0,30.333333333333332,0.0,False,False,True,1,True
956664,0.0,1.0,0.0,9.0,0.0,False,False,True,1,True
957922,1.0,2.0,0.5,13.0,7.0,True,False,False,1,True
958394,0.0,10.0,0.0,15.7,0.0,False,False,True,1,True
958416,1.0,9.0,0.1111111111111111,26.444444444444443,28.0,True,False,False,1,True
958430,0.0,9.0,0.0,45.44444444444444,45.0,False,True,False,1,True
958434,1.0,11.0,0.09090909090909091,81.0909090909091,33.0,True,True,False,2,True
958452,1.0,12.0,0.08333333333333333,28.916666666666668,39.0,True,False,False,1,True
958456,0.0,6.0,0.0,44.0,29.0,False,True,False,1,True
958460,3.0,16.0,0.1875,319.625,37.0,True,True,False,2,True
958468,0.0,4.0,0.0,61.0,37.0,False,True,False,1,True
958470,0.0,3.0,0.0,50.666666666666664,9.0,False,True,False,1,True
958478,0.0,5.0,0.0,47.4,24.0,False,True,False,1,True
958640,1.0,10.0,0.1,10.5,3.0,True,False,False,1,True
959312,1.0,13.0,0.07692307692307693,32.15384615384615,17.0,True,False,False,1,True
960296,0.0,2.0,0.0,63.0,9.0,False,True,False,1,True
960620,1.0,10.0,0.1,74.8,18.0,True,True,False,2,True
960648,0.0,8.0,0.0,72.375,17.0,False,True,False,1,True
960698,0.0,3.0,0.0,33.666666666666664,0.0,False,False,True,1,True
961552,0.0,1.0,0.0,104.0,4.0,False,True,False,1,True
961770,0.0,16.0,0.0,54.125,0.0,False,True,True,2,True
962062,0.0,8.0,0.0,25.5,0.0,False,False,True,1,True
962168,0.0,4.0,0.0,17.25,0.0,False,False,True,1,True
962268,0.0,11.0,0.0,58.36363636363637,17.0,False,True,False,1,True
962658,0.0,14.0,0.0,194.35714285714286,40.0,False,True,False,1,True
962902,0.0,12.0,0.0,134.16666666666666,34.0,False,True,False,1,True
964510,1.0,6.0,0.16666666666666666,25.0,19.0,True,False,False,1,True
964518,0.0,1.0,0.0,42.0,0.0,False,False,True,1,True
964666,2.0,9.0,0.2222222222222222,64.22222222222223,13.0,True,True,False,2,True
965942,0.0,2.0,0.0,25.5,0.0,False,False,True,1,True
968232,0.0,1.0,0.0,13.0,0.0,False,False,True,1,True
968368,0.0,2.0,0.0,19.0,0.0,False,False,True,1,True
968520,0.0,1.0,0.0,5.0,0.0,False,False,True,1,True
969272,1.0,8.0,0.125,233.375,22.0,True,True,False,2,True
969288,0.0,2.0,0.0,44.0,1.0,False,True,False,1,True
969294,0.0,4.0,0.0,177.5,6.0,False,True,False,1,True
970240,0.0,1.0,0.0,44.0,1.0,False,True,False,1,True
970244,0.0,1.0,0.0,81.0,2.0,False,True,False,1,True
970254,0.0,1.0,0.0,121.0,4.0,False,True,False,1,True
971100,0.0,2.0,0.0,13.0,0.0,False,False,True,1,True
971102,0.0,4.0,0.0,338.0,0.0,False,True,True,2,True
971354,0.0,2.0,0.0,42.0,0.0,False,False,True,1,True
973286,0.0,1.0,0.0,88.0,0.0,False,True,True,2,True
